标题,小区名称,所在区市,详细地址,总价,单价,房屋户型,房屋朝向,建筑面积,所在楼层,户型结构,建筑类型,装修情况,梯户比例,配备电梯,挂牌时间,交易权属,房屋用途,房屋年限,产权所属,详情页
5号线展示五楼住宅！全明户型满5年，首套首付仅45万,江海新村,奉贤,南桥,145.0,19611,3室1厅1厨1卫,南北,73.94㎡,高楼层 (共6层),平层,板楼,精装,一梯两户,无,2023,商品房,普通住宅,满五年,共有,https://sh.lianjia.com/ershoufang/107106349066.html
海联花苑 少见 南北两房 一楼带小院 采光无遮挡,海联花苑,闵行,金虹桥,480.0,82164,2室1厅1厨1卫,南,58.42㎡,低楼层 (共6层),平层,板楼,简装,一梯两户,无,2023,商品房,普通住宅,满五年,共有,https://sh.lianjia.com/ershoufang/107106356615.html
和源名城，双楠户型，毛坯房，一手动迁，诚意出售,和源名城,静安,彭浦,545.0,67879,2室1厅1厨1卫,南,80.29㎡,中楼层 (共34层),平层,板楼,毛坯,两梯四户,有,2023,商品房,普通住宅,满五年,共有,https://sh.lianjia.com/ershoufang/107106351122.html
大虹桥板块，地铁14号线，嘉闵线双轨交，采光视野棒,金帝城市岸泊(公寓),嘉定,江桥,370.0,42810,2室2厅1厨1卫,南,86.43㎡,高楼层 (共6层),平层,板楼,精装,一梯两户,无,2023,商品房,普通住宅,满五年,非共有,https://sh.lianjia.com/ershoufang/107106360512.html
房型正气两房 两房朝南 北面带窗户 全明 售后公房,宝林二村,宝山,淞宝,315.0,52317,2室1厅1厨1卫,南,60.21㎡,低楼层 (共6层),平层,板楼,简装,一梯四户,无,2023,商品房,普通住宅,满五年,非共有,https://sh.lianjia.com/ershoufang/107106358743.html
优秀历史建筑 古典村楼 三年一套的户型 全明三房横厅,同济新村,杨浦,鞍山,870.0,97414,3室1厅1厨1卫,南,89.31㎡,低楼层 (共6层),平层,板楼,精装,一梯两户,无,2023,商品房,普通住宅,满五年,非共有,https://sh.lianjia.com/ershoufang/107106356049.html
潼港二村 1室1厅 南,潼港二村,浦东,外高桥,185.0,43777,1室1厅1厨1卫,南,42.26㎡,中楼层 (共6层),平层,板楼,其他,一梯两户,无,2023,商品房,普通住宅,满五年,非共有,https://sh.lianjia.com/ershoufang/107106359742.html
川杨新苑(一期) 3室2厅 南 北,川杨新苑(一期),浦东,张江,688.0,61511,3室2厅1厨1卫,南北,111.85㎡,中楼层 (共13层),平层,板楼,简装,一梯两户,有,2023,动迁安置房,普通住宅,满五年,非共有,https://sh.lianjia.com/ershoufang/107106350781.html
嘉宝东区中间楼层，三室户型，南北通透，户型格局好,嘉宝梦之缘景庭,嘉定,嘉定新城,570.0,49484,3室2厅1厨1卫,南北,115.19㎡,中楼层 (共20层),平层,板楼,毛坯,两梯四户,有,2023,商品房,普通住宅,满五年,共有,https://sh.lianjia.com/ershoufang/107106356587.html
精装修，中间楼层，满五名下无房,康桥月苑,浦东,康桥,355.0,48939,2室1厅1厨1卫,南北,72.54㎡,中楼层 (共6层),平层,板楼,精装,一梯两户,无,2023,动迁安置房,普通住宅,满五年,非共有,https://sh.lianjia.com/ershoufang/107106357659.html
翔和雅苑 3室2厅 南 北,翔和雅苑,嘉定,南翔,425.0,49772,3室2厅1厨1卫,南北,85.39㎡,中楼层 (共18层),平层,板楼,简装,两梯四户,有,2023,商品房,普通住宅,满五年,非共有,https://sh.lianjia.com/ershoufang/107106363678.html
降价好房+两房两厅两卫+近地铁13号线+商圈配套成熟,泰宸新苑,嘉定,丰庄,599.0,60813,2室2厅1厨2卫,南,98.5㎡,低楼层 (共6层),平层,板楼,毛坯,一梯两户,无,2023,商品房,普通住宅,满五年,共有,https://sh.lianjia.com/ershoufang/107106377547.html
此房满五V壹，楼层好，视野开阔，（万达商圈）,万科梦想派,松江,松江大学城,575.0,61835,3室2厅1厨1卫,南,92.99㎡,高楼层 (共21层),平层,板楼,精装,两梯两户,有,2023,商品房,普通住宅,满五年,非共有,https://sh.lianjia.com/ershoufang/107106351899.html
精装带地暖温馨小户型，5月M5税少，视野开阔诚意出售,同润菲诗艾伦,松江,泗泾,208.0,37573,1室1厅1厨1卫,西,55.36㎡,中楼层 (共16层),平层,板塔结合,精装,三梯十八户,有,2023,商品房,普通住宅,满两年,非共有,https://sh.lianjia.com/ershoufang/107106355314.html
